Country,Continent,Happiness,Gini,GDP
Norway,Europe,7.537000179,26.83,62448
Denmark,Europe,7.521999836,26.88,41991
Iceland,Europe,7.504000187,26.3,41250
Switzerland,Europe,7.493999958,32.35,54697
Finland,Europe,7.468999863,27.79,38846
Netherlands,Europe,7.376999855,28.87,44945
Canada,North America,7.315999985,33.68,41894
New Zealand,Oceania,7.31400013,28.76333333,32808
Sweden,Europe,7.28399992,26.08,43741
Australia,Oceania,7.28399992,34.01,42831
Israel,Asia,7.212999821,42.78,30927
Costa Rica,North America,7.078999996,48.61,13431
Austria,Europe,7.006000042,30.04,44376
United States,North America,6.993000031,41.12,51340
Ireland,Europe,6.977000237,32.06,44931
Germany,Europe,6.951000214,30.63,43207
Belgium,Europe,6.890999794,33.14,40607
Luxembourg,Europe,6.862999916,29.00333333,87737
United Kingdom,Europe,6.714000225,38.04,37017
Chile,South America,6.65199995,50.84,21714
United Arab Emirates,Asia,6.647999763,29.00333333,57045
Brazil,South America,6.635000229,52.67,14555
Czech Republic,Europe,6.609000206,26.39,27959
Argentina,South America,6.598999977,43.57,22982
Mexico,North America,6.578000069,48.07,16291
Singapore,Asia,6.572000027,29.95,76237
Malta,Europe,6.52699995,28.53333333,28828
Uruguay,South America,6.453999996,41.32,18966
Guatemala,North America,6.453999996,52.35,7063
Panama,North America,6.452000141,51.9,18793
France,Europe,6.441999912,31.69,37154
Thailand,Asia,6.423999786,39.37,13932
Spain,Europe,6.402999878,35.75,31596
Qatar,Asia,6.375,29.95,127562
Colombia,South America,6.356999874,53.53,12025
Saudi Arabia,Asia,6.343999863,29.00333333,52068
Kuwait,Asia,6.105000019,29.00333333,82358
Slovakia,Europe,6.09800005,26.58,26263
Bahrain,Asia,6.086999893,29.00333333,42444
Malaysia,Asia,6.084000111,46.21,22589
Ecuador,South America,6.007999897,46.57,10541
El Salvador,North America,6.002999783,41.8,7515
Poland,Europe,5.97300005,32.78,22877
Uzbekistan,Asia,5.971000195,35.19,5002
Italy,Asia,5.964000225,35.52,34167
Russia,Asia,5.962999821,39.69,23564
Japan,Asia,5.920000076,32.11,35614
Lithuania,Europe,5.90199995,32.63,24483
Algeria,Africa,5.872000217,38.81666667,12893
Latvia,Europe,5.849999905,36.03,21825
Romania,Europe,5.824999809,27.33,18200
Kazakhstan,Asia,5.818999767,28.56,22467
Slovenia,Europe,5.757999897,24.87,27576
Peru,South America,5.715000153,45.33,11396
Cyprus,Europe,5.620999813,28.53333333,27394
Estonia,Europe,5.611000061,32.69,25132
Belarus,Europe,5.568999767,26.46,17055
Turkey,Asia,5.5,40.04,18660
Paraguay,South America,5.493000031,48.01,7833
Philippines,Asia,5.429999828,43.03,6326
Jordan,Asia,5.335999966,33.69,11407
Hungary,Europe,5.323999882,28.94,22914
Jamaica,North America,5.31099987,45.51,8607
Croatia,Europe,5.293000221,33.61,20063
China,Asia,5.272999763,37.01207517,11525
Pakistan,Asia,5.269000053,29.63,4454
Indonesia,Asia,5.262000084,38.1406895,9254
Venezuela,South America,5.25,44.77,17615
Azerbaijan,Asia,5.234000206,33.03,16594
Dominican Republic,North America,5.230000019,45.68,11795
Greece,Europe,5.227000237,34.74,24540
Lebanon,Asia,5.224999905,37.67666667,16623
Portugal,Europe,5.195000172,30.66333333,25596
Macedonia,Europe,5.175000191,44.2,11609
Nigeria,Africa,5.073999882,42.95,5423
Nepal,Asia,4.961999893,32.82,2173
Mongolia,Asia,4.954999924,36.52,9132
South Africa,Africa,4.828999996,65.02,12106
Tunisia,Asia,4.804999828,35.79,10768
Egypt,Africa,4.735000134,30.75,10733
Bulgaria,Europe,4.714000225,34.28,15695
Iran,Asia,4.691999912,38.28,15090
Albania,Europe,4.644000053,28.96,10405
Bangladesh,Asia,4.607999802,32.12,2853
Namibia,Africa,4.573999882,61.32,9276
Kenya,Africa,4.552999973,47.68,2705
Mozambique,Africa,4.550000191,45.66,1070
Zambia,Africa,4.513999939,57.49,3800
Iraq,Asia,4.497000217,29.54,14471
Ethiopia,Africa,4.460000038,33.6,1336
Sri Lanka,Asia,4.440000057,36.4,9426
Armenia,Asia,4.375999928,30.3,7527
India,Asia,4.315000057,33.60168037,5238
Georgia,Asia,4.285999775,41.35,6946
Cambodia,Asia,4.168000221,31.82,2944
Ghana,Africa,4.119999886,42.76,3864
Ukraine,Europe,4.096000195,24.82,8508
Uganda,Africa,4.080999851,44.55,1368
Zimbabwe,Africa,3.875,49.99333333,1773
Angola,Africa,3.795000076,42.66,7488
Botswana,Africa,3.766000032,60.46,15247
Rwanda,Africa,3.470999956,50.82,1426
